oshpd_id2,oshpd_id,FACILITY_NAME,LICENSE_CATEGORY_DESC,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,disp_Acute_Care,disp_Against_Medical_Advice,disp_Childrens_or_Cancer,disp_Died,disp_Home_Health_Service,disp_Invalid_Blank,disp_Not_Defined_Elsewhere,disp_Prison_Jail,disp_Psychiatric_Care,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Sex_Female,Sex_Male,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,All_Other_Languages,English,PLS_Other_Unknown,Spanish,dx_Circulatory,dx_Digestive,dx_Diseases_of_the_Blood,dx_Ear,dx_Endocrine,dx_Eye,dx_Factors_Influencing_Health,dx_Genitourinary,dx_Infectious,dx_Injury_Poisoning,dx_MentalHealth,dx_Musculoskeletal,dx_Neoplasms,dx_Nervous_System,dx_Other_Unknown,dx_Pregnancy_Childbirth,dx_Respiratory,dx_Skin,dx_Symptoms_Signs_NEC,disp_CAH,disp_Hospice_Care,disp_Rehab,Zip_Unknown,dx_Certain_Perinatal_Conditions,dx_Congenital,disp_Other,Zip_Blank_Invalid,Unknown_inv_Payer,disp_Disaster_Care_Site,a_disp_Acute_Care,a_disp_Against_Medical_Advice,a_disp_Died,a_disp_Home_Health_Service,a_disp_Hospice_Care,a_disp_Psychiatric_Care,a_disp_Rehab,a_disp_Residential_Care,a_disp_Routine,a_disp_SN_IC_Care,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Zip_CA_Resident,a_Zip_Foreign,a_Zip_Homeless,a_Zip_Out_of_State,a_Sex_Female,a_Sex_Male,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Other_Unknown,a_racegrp_asian,a_racegrp_black,a_racegrp_multirace,a_racegrp_other,a_racegrp_unknown,a_racegrp_white,a_Eth_Other_Unknown,a_eth_Hispanic,a_eth_NonHispanic,a_All_Other_Languages,a_English,a_PLS_Other_Unknown,a_Spanish,a_dx_Circulatory,a_dx_Digestive,a_dx_Diseases_of_the_Blood,a_dx_Ear,a_dx_Endocrine,a_dx_Genitourinary,a_dx_Infectious,a_dx_Injury_Poisoning,a_dx_MentalHealth,a_dx_Musculoskeletal,a_dx_Neoplasms,a_dx_Nervous_System,a_dx_Other_Unknown,a_dx_Respiratory,a_dx_Skin,a_dx_Symptoms_Signs_NEC,a_disp_Childrens_or_Cancer,a_disp_Not_Defined_Elsewhere,a_disp_Prison_Jail,a_Zip_Unknown,a_Age_10_19,a_racegrp_aman,a_racegrp_nhpi,a_dx_Congenital,a_dx_Eye,a_dx_Factors_Influencing_Health,a_dx_Pregnancy_Childbirth,a_disp_CAH,a_Age_0_09,a_dx_Certain_Perinatal_Condition,a_Zip_Blank_Invalid,a_sex_Oth_Unknown,a_Unknown_inv_Payer,a_disp_Other,a_disp_Invalid_Blank,a_disp_Disaster_Care_Site,ed_STATIONS_ON_1231
106014326,014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,General Acute Care Hospital,ALAMEDA,275 W MACARTHUR BLVD,OAKLAND,94611,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 9,District 15,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,1030,2496,27,113,336,3,52,86,955,16,96083,610,27912,21423,2081,41834,8653,98260,,3106,484,54798,47081,27,7663,7383,15884,17439,13220,13392,11442,9006,6471,6,392,9322,34584,1502,612,28821,2792,23881,26779,72988,2139,3065,88991,96,9754,8231,4967,664,1132,1386,1322,4387,4665,3991,23065,4057,6990,203,5187,147,2200,5159,3434,20624,1,77,21,13,87,8,,43,3,,344,214,557,2042,332,28,88,4,7278,1317,1587,6925,49,3418,257,11818,,364,50,6157,6077,402,864,998,1533,2346,2739,2872,,1553,4208,160,2102,117,3989,104,1995,10137,579,10767,21,869,2697,1581,222,23,613,531,2800,874,239,259,311,482,,816,192,394,,25,3,,222,41,66,12,19,26,126,,260,19,4,2,,4,,,52
106014337,014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,General Acute Care Hospital,ALAMEDA,2500 MERCED ST,SAN LEANDRO,94577,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,200-299,District 9,District 18,San Leandro West/San Lorenzo West/Hayward West,Urban,554,1254,8,59,927,3,224,6,503,3,55165,636,9157,12783,1145,32891,3486,58960,1,294,189,32742,26714,7,5093,4176,9027,8968,7615,7835,7170,5362,4216,1,249,9616,13008,928,1190,18480,2290,13702,19067,37960,2436,2365,51257,58,5783,5473,3732,311,727,1013,687,1715,3479,2561,11274,2034,4706,143,3039,27,1511,2801,1887,12259,2,99,20,1,68,16,,18,1,,166,60,290,1799,148,13,12,1,2132,655,369,3070,10,1725,109,5216,,55,12,2600,2683,206,365,453,733,1082,1127,1289,8,967,1113,66,1080,31,1894,30,1168,4085,231,4626,12,414,884,598,67,1,210,244,1902,354,93,59,113,127,6,321,83,102,,6,,,20,33,99,4,8,3,104,,,,,,,1,,,40
106034002,034002,SUTTER AMADOR HOSPITAL,General Acute Care Hospital,AMADOR,200 MISSION BLVD,JACKSON,95642,Non-profit Corporation (incl. Church-related),,Emergency - Basic,SMALL/RURAL,,50-99,District 8,District 5,Ione/Jackson/Pine Grove/Sutter Creek,Rural,783,168,3,29,26,,30,565,100,16,20371,61,8216,6696,1511,5138,600,21631,4,204,217,11694,10467,,1717,1798,2424,3064,2377,2980,3135,2755,1911,,206,111,304,354,84,1099,331,19672,2230,19213,718,36,21841,20,264,1513,1347,89,349,315,133,742,1265,1463,4862,861,1532,71,686,3,311,1994,1013,3591,,9,,103,16,5,,2,,,129,48,62,416,54,3,16,9,673,247,214,1116,168,215,18,1704,,14,12,870,861,30,67,107,203,368,497,454,5,,14,14,62,37,1593,50,107,1574,,1714,17,,286,241,15,1,72,38,559,171,28,20,23,48,,141,34,38,,4,66,1,,11,,,,1,15,4,,,,,,,,,14
106040802,040802,ORCHARD HOSPITAL,General Acute Care Hospital,BUTTE,240 SPRUCE ST,GRIDLEY,95948,Non-profit Corporation (incl. Church-related),,Emergency - Standby,SMALL/RURAL,,100-149,District 4,District 3,Biggs/East Biggs/Gridley,Rural,437,314,3,13,5,,,9,19,7,8204,60,5208,1613,16,1543,712,9020,,36,35,5084,4008,,995,1000,1190,1395,1280,1214,970,623,425,,63,234,188,22,39,1570,104,6872,2694,6374,24,60,8048,10,974,596,772,26,215,154,80,85,652,675,2001,250,653,20,289,22,143,804,534,1121,19,1,,,,,1,1,,,13,6,3,8,,1,,,79,62,67,90,1,16,1,170,,4,1,94,81,,,20,29,32,36,48,10,,,,21,9,145,,36,139,,156,2,17,35,12,,,18,15,33,3,3,4,1,7,,28,13,3,,1,,,,,,,,,,2,,,,,,,,,5
106040937,040937,OROVILLE HOSPITAL,General Acute Care Hospital,BUTTE,2767 OLIVE HWY,OROVILLE,95966,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,100-149,District 4,District 3,Oroville/Palermo/Thermalito,Rural,205,668,,42,,,,126,95,2,6663,10,4108,1491,440,1326,446,7669,,44,81,3904,3906,1,893,783,1230,1417,965,987,810,422,304,,198,294,338,46,,653,177,6105,739,6796,276,113,7548,1,149,553,328,12,68,85,74,365,339,328,1580,458,978,19,366,22,221,367,224,1421,,,,17,,3,,,,,189,1407,242,461,31,10,1,73,8036,1101,4607,5366,400,1008,232,11155,,380,77,5776,5836,667,1164,1337,2097,2471,1991,1603,,403,389,76,742,80,9562,159,837,10617,251,11149,,213,1829,1248,59,25,399,467,3567,1348,237,371,152,590,5,305,144,677,,,62,,204,361,,5,8,59,118,,79,,1,1,,,,,14
106040962,040962,ENLOE MEDICAL CENTER- ESPLANADE,General Acute Care Hospital,BUTTE,1531 ESPLANADE,CHICO,95926,Non-profit Corporation (incl. Church-related),Level II,Emergency - Basic,,,200-299,District 4,District 3,Chapmantown/Chico,Urban,372,1221,8,87,,,,314,340,30,49521,62,21429,13465,1480,12190,3381,49543,3,2013,380,28279,23671,13,4300,4919,9323,7888,5826,5606,5970,4473,3658,,743,672,1656,645,131,11084,869,36163,10098,40476,1389,308,48411,117,3127,3852,3427,120,608,661,334,1585,3270,2209,11071,2391,3581,126,1986,30,1469,3690,2049,9435,,1,7,23,60,9,,1,18,,188,,600,2162,260,18,355,90,8252,1665,2860,7699,93,2723,224,13134,,384,79,6543,7056,540,762,1105,1783,2897,3189,3005,,176,228,115,1764,149,10997,289,1647,11663,140,12609,28,822,2758,1779,129,24,611,1067,2523,1571,220,275,335,420,,1082,308,366,,,8,2,148,145,25,4,13,10,81,,170,23,,,,,1,,50
106050932,050932,MARK TWAIN MEDICAL CENTER,General Acute Care Hospital,CALAVERAS,768 MOUNTAIN RANCH RD,SAN ANDREAS,95249,Non-profit Corporation (incl. Church-related),,Emergency - Basic,SMALL/RURAL,,1-49,District 8,District 5,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,Rural,501,296,,17,32,,9,102,161,,8730,80,3940,2934,354,2339,363,9751,1,22,137,5262,4667,1,825,854,1079,1313,1102,1312,1457,1149,839,,32,130,,14,77,520,53,9104,636,9042,252,27,9733,51,119,729,737,41,177,147,86,536,678,600,2382,483,559,34,336,6,73,810,467,1047,,2,,10,,2,,9,,,72,26,32,172,12,3,11,2,347,149,167,525,18,119,6,813,,13,6,423,412,21,39,53,112,189,224,197,,,,,19,15,801,10,29,796,,818,17,,136,103,5,2,64,40,220,61,28,11,5,35,2,77,29,16,,7,,1,,,,,,1,,2,,,2,,,,,,8
106060870,060870,COLUSA MEDICAL CENTER,General Acute Care Hospital,COLUSA,199 E WEBSTER ST,COLUSA,95932,Investor - Limited Liability Company,,Emergency - Standby,SMALL/RURAL,,1-49,District 4,District 3,Colusa,Rural,209,146,,7,1,,,98,34,,3847,12,2282,820,185,674,398,4309,,3,44,2253,2106,,508,597,599,686,570,463,477,282,177,,22,38,60,99,,95,72,3973,1997,2361,1,,3448,20,891,271,282,9,109,69,52,123,224,125,1166,192,283,4,157,4,67,324,187,711,4,,,3,,,1,,,,30,31,12,23,,2,,1,259,156,112,318,6,69,11,504,,5,7,282,234,,22,48,78,92,129,136,11,,12,26,,18,460,,133,383,,433,,83,62,40,3,1,37,49,163,10,21,13,4,13,,46,21,31,,2,,,,,,,,2,,,,,,,,,,,4
106070924,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,General Acute Care Hospital,CONTRA COSTA,2500 ALHAMBRA AVE,MARTINEZ,94553,City or County,,Emergency - Basic,,,150-199,District 3,District 14,Crockett/Hercules/Martinez West/Pinole/Port Costa/Richmond Northeast/Rodeo,Urban,1252,215,7,3,10,,139,665,2085,36,31033,109,20759,3915,3948,3700,3251,33807,7,1572,160,17263,18310,,1752,3163,6466,7728,5538,5112,3869,1328,617,,123,2781,6150,792,279,13275,1076,11097,14110,20098,1365,1954,26536,,7083,1572,1473,106,433,262,428,2686,1589,1165,3917,8588,2711,77,1200,100,665,881,1216,6479,,3,16,25,14,11,,2,,,360,6,53,4,8,40,1,205,3258,63,2582,1102,52,181,149,3661,,387,15,1854,2212,503,631,558,763,808,410,260,,408,670,92,1308,85,1446,242,1296,2528,284,3022,,760,649,661,40,2,264,218,402,113,968,56,86,97,1,137,115,156,1,,67,3,109,13,44,2,2,10,63,,24,24,,,,,,,26
106070934,070934,SUTTER DELTA MEDICAL CENTER,General Acute Care Hospital,CONTRA COSTA,3901 LONE TREE WAY,ANTIOCH,94509,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,100-149,District 7,District 11,Brentwood Central and West/Oakley,Urban,755,692,81,77,46,,32,58,307,79,33113,121,19895,5571,1400,6020,2489,33548,1,1251,267,19413,15962,,3422,3627,6073,6182,4824,4559,3333,1985,1370,,90,1506,10800,645,873,7792,237,13432,11166,23897,312,639,30960,92,3684,2272,2191,157,491,525,313,746,2233,1943,7011,1407,3042,75,1443,17,1033,2450,1478,6501,6,5,3,308,39,8,,,,,314,296,231,1247,152,10,9,57,2701,742,1895,2802,166,842,63,5455,2,244,41,2894,2874,241,412,647,1033,1317,1099,964,8,256,1293,70,890,43,3000,53,1259,4456,214,5067,17,470,1409,698,102,12,385,323,1299,357,107,76,73,177,7,434,102,171,,4,1,26,47,13,203,,1,5,30,4,,,,,,,,,32
106070988,070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,General Acute Care Hospital,CONTRA COSTA,1601 YGNACIO VALLEY RD,WALNUT CREEK,94598,Non-profit Corporation (incl. Church-related),Level II,Emergency - Basic,,,500+,District 7,District 16,Clayton/Concord South/Walnut Creek Central and East,Urban,223,451,9,51,259,,5,36,362,1,37533,925,1054,20653,743,16053,1512,38976,12,448,537,22535,17473,7,4188,3119,4150,4770,4067,4764,4767,4772,5418,,142,3527,2796,894,273,5061,1289,26033,7694,31101,1220,1116,36912,39,1948,3527,2521,231,368,734,420,795,2479,1526,8879,1413,2854,176,1774,41,811,1931,1129,8317,1,74,15,41,75,14,70,1,,,443,154,561,2991,324,89,222,2,4327,1983,1601,6138,275,2912,198,10772,,251,89,5503,5621,466,644,771,1270,1835,2363,3293,,995,833,208,984,313,7691,314,1356,9454,502,10172,27,423,1637,1547,162,15,432,650,1581,2494,172,300,518,385,,665,225,165,7,7,8,12,244,38,62,6,18,22,76,,238,54,,,,6,,,44
