oshpd_id2,oshpd_id,FACILITY_NAME,LICENSE_CATEGORY_DESC,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,disp_Acute_Care,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Invalid_Blank,disp_Not_Defined_Elsewhere,disp_Prison_Jail,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Sex_Female,Sex_Male,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,All_Other_Languages,English,PLS_Other_Unknown,Spanish,dx_Circulatory,dx_Congenital,dx_Digestive,dx_Diseases_of_the_Blood,dx_Ear,dx_Endocrine,dx_Eye,dx_Factors_Influencing_Health,dx_Genitourinary,dx_Infectious,dx_Injury_Poisoning,dx_MentalHealth,dx_Musculoskeletal,dx_Neoplasms,dx_Nervous_System,dx_Other_Unknown,dx_Pregnancy_Childbirth,dx_Respiratory,dx_Skin,dx_Symptoms_Signs_NEC,disp_CAH,disp_Childrens_or_Cancer,Zip_Blank_Invalid,Zip_Unknown,dx_Certain_Perinatal_Conditions,disp_Other,disp_Disaster_Care_Site,Unknown_inv_Payer,a_disp_Acute_Care,a_disp_Against_Medical_Advice,a_disp_Died,a_disp_Home_Health_Service,a_disp_Hospice_Care,a_disp_Psychiatric_Care,a_disp_Rehab,a_disp_Routine,a_disp_SN_IC_Care,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Zip_CA_Resident,a_Zip_Homeless,a_Zip_Out_of_State,a_Sex_Female,a_Sex_Male,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Other_Unknown,a_racegrp_asian,a_racegrp_black,a_racegrp_multirace,a_racegrp_other,a_racegrp_unknown,a_racegrp_white,a_Eth_Other_Unknown,a_eth_Hispanic,a_eth_NonHispanic,a_All_Other_Languages,a_English,a_PLS_Other_Unknown,a_Spanish,a_dx_Circulatory,a_dx_Digestive,a_dx_Diseases_of_the_Blood,a_dx_Ear,a_dx_Endocrine,a_dx_Eye,a_dx_Genitourinary,a_dx_Infectious,a_dx_Injury_Poisoning,a_dx_MentalHealth,a_dx_Musculoskeletal,a_dx_Neoplasms,a_dx_Nervous_System,a_dx_Other_Unknown,a_dx_Respiratory,a_dx_Skin,a_dx_Symptoms_Signs_NEC,a_disp_Not_Defined_Elsewhere,a_disp_Prison_Jail,a_disp_Residential_Care,a_Zip_Foreign,a_Zip_Unknown,a_Age_0_09,a_Age_10_19,a_racegrp_aman,a_racegrp_nhpi,a_dx_Congenital,a_dx_Factors_Influencing_Health,a_dx_Pregnancy_Childbirth,a_disp_Childrens_or_Cancer,a_sex_Oth_Unknown,a_dx_Certain_Perinatal_Condition,a_disp_CAH,a_disp_Other,a_Unknown_inv_Payer,a_Zip_Blank_Invalid,a_disp_Invalid_Blank,a_disp_Disaster_Care_Site,ED_STATIONS_ON_1231
106014326,014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,General Acute Care Hospital,Alameda,275 W MACARTHUR BLVD,OAKLAND,94611,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 9,District 15,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,690,3407,129,502,186,10,107,107,893,23,12,113388,607,34428,24821,2178,49298,9363,116183,,3238,609,64826,55220,42,12437,9289,17372,19648,14881,15022,13313,10564,7559,3,484,11573,38551,1735,755,35893,3540,27557,33199,84244,2645,3667,104228,168,12025,8696,21,6118,679,1924,1520,1562,4115,5343,6612,25272,4338,8524,215,5400,169,2168,9273,4185,23861,5,21,43,15,93,,1,,281,213,536,2131,262,29,78,6996,1455,1473,7086,50,3186,227,11757,212,37,6046,5976,368,770,954,1446,2185,2772,3004,,1675,4027,141,1943,104,4025,82,1830,10111,634,10548,25,816,2673,1547,238,25,630,28,536,2478,912,253,212,309,458,,972,188,401,28,,1,,15,336,188,39,69,12,23,104,1,1,24,1,11,1,2,,,52
106014337,014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,General Acute Care Hospital,Alameda,2500 MERCED ST,SAN LEANDRO,94577,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,200-299,District 9,District 18,San Leandro West/San Lorenzo West/Hayward West,Urban,494,1705,72,886,98,4,268,4,554,22,7,64564,653,11538,14286,1135,38495,3854,68853,,264,200,37931,31401,11,8169,5423,9712,10090,8485,8652,8025,5946,4838,3,340,11488,14898,1116,1408,22492,2664,14937,23241,43253,2849,2851,59487,124,6881,5433,16,4437,294,1072,992,855,1489,3799,3994,12262,2070,5500,165,3100,27,1385,5369,2291,14741,,12,22,4,52,,,35,213,62,303,1861,171,16,17,2730,799,433,3747,5,1905,89,6103,57,18,3081,3098,223,400,477,795,1241,1430,1555,,1139,1233,87,1297,28,2237,33,1376,4770,328,5342,13,496,1020,861,90,6,288,2,343,1900,423,131,70,144,159,2,387,119,121,5,,,,1,24,34,31,127,4,8,88,,,13,,2,,,,,40
106034002,034002,SUTTER AMADOR HOSPITAL,General Acute Care Hospital,Amador,200 MISSION BLVD,JACKSON,95642,Non-profit Corporation (incl. Church-related),,Emergency - Basic,SMALL/RURAL,,50-99,District 8,District 5,Ione/Jackson/Pine Grove/Sutter Creek,Rural,722,201,19,95,5,,70,679,106,1,19,23008,65,9389,7648,1515,5648,796,24439,4,278,221,13377,11619,,2574,2015,2512,3151,2471,3086,3588,3346,2253,,231,116,323,393,103,1340,476,22014,2860,21208,928,54,24574,29,339,1598,5,1567,69,633,331,215,614,1409,1785,5091,947,1855,55,758,11,276,2751,1229,3797,1,5,1,53,,,,,120,50,55,439,63,3,8,762,262,275,1233,111,179,22,1777,23,15,955,865,37,79,93,189,385,492,534,11,,16,,58,53,1675,58,113,1649,,1810,10,,316,235,17,3,75,1,60,555,191,34,36,13,58,3,135,35,38,4,49,4,2,3,,,18,,,,15,,,,1,,,,,,14
106040802,040802,ORCHARD HOSPITAL,General Acute Care Hospital,Butte,240 SPRUCE ST,GRIDLEY,95948,Non-profit Corporation (incl. Church-related),,Emergency - Standby,SMALL/RURAL,,100-149,District 4,District 3,Biggs/East Biggs/Gridley,Rural,375,419,14,16,2,,,4,9,1,9,9347,75,6101,1814,18,1785,607,10232,,39,54,5706,4619,,1412,1246,1274,1500,1306,1326,1069,707,485,,82,236,230,11,46,2206,227,7287,3419,6875,31,65,9059,5,1196,634,,897,21,302,128,85,123,648,963,2136,242,764,22,317,20,123,1184,541,1175,49,4,,,,1,,,23,15,9,19,3,,1,148,92,74,204,2,29,2,300,9,2,155,156,,,28,45,48,66,105,19,,,,53,10,248,2,57,252,,270,9,32,55,16,,,29,,14,68,22,11,14,5,4,,51,10,10,,,,,,,,,,,2,,,,,1,,,,,,5
106040937,040937,OROVILLE HOSPITAL,General Acute Care Hospital,Butte,2767 OLIVE HWY,OROVILLE,95966,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,100-149,District 4,District 3,Oroville/Palermo/Thermalito,Rural,219,591,42,,,,,141,83,,1,8248,4,4909,1945,504,1528,443,9141,1,96,89,4874,4452,3,1176,882,1246,1705,1151,1132,1058,585,394,,300,361,336,65,,885,313,7069,899,7822,608,126,9002,1,200,734,5,543,17,106,130,70,335,440,407,1864,520,975,29,378,28,235,657,239,1617,,,1,1,,,,,130,974,189,536,49,14,2,6990,1057,3852,4900,353,802,147,9700,283,70,5143,4911,494,821,1072,1650,2387,1916,1478,,359,290,69,757,126,8210,352,707,8995,210,9607,1,236,1495,1063,34,22,355,11,417,3160,1255,217,291,129,436,5,287,101,576,,62,51,,,85,151,243,,8,47,145,,,,,,,1,,,14
106040962,040962,ENLOE MEDICAL CENTER- ESPLANADE,General Acute Care Hospital,Butte,1531 ESPLANADE,CHICO,95926,Non-profit Corporation (incl. Church-related),Level II,Emergency - Basic,,,200-299,District 4,District 3,Chapmantown/Chico,Urban,409,1120,79,3,,,,314,292,6,40,54042,63,24020,14360,1630,13384,2965,53699,8,2224,420,31024,25339,13,6028,5401,9594,8292,5962,5785,6261,4972,4081,,886,814,1862,904,139,12196,1240,38335,11602,42586,2188,402,52294,167,3513,3988,6,3841,137,864,661,424,1889,3372,2488,11163,2423,3820,109,2143,25,1366,5182,2146,10279,,1,,25,50,7,,17,230,,535,2014,330,17,396,7824,1711,2430,7798,51,2696,179,12706,356,87,6347,6806,409,636,847,1509,2797,3184,3311,,171,230,122,1694,224,10546,425,1474,11255,126,12266,31,731,2716,1787,131,13,671,15,1026,1869,1671,206,303,354,370,,1275,250,338,,2,95,2,3,308,153,153,14,6,11,83,,1,59,,,,,,,50
106050932,050932,MARK TWAIN MEDICAL CENTER,General Acute Care Hospital,Calaveras,768 MOUNTAIN RANCH RD,SAN ANDREAS,95249,Non-profit Corporation (incl. Church-related),,Emergency - Basic,SMALL/RURAL,,1-49,District 8,District 5,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,Rural,488,298,10,21,1,,4,88,160,,,9038,82,4094,3103,339,2379,275,10053,5,17,100,5439,4751,,980,952,1046,1300,1002,1207,1536,1249,917,1,42,106,,16,99,547,51,9329,651,9351,188,18,10054,20,98,717,,725,28,241,153,104,377,660,615,2437,490,632,34,329,4,82,995,443,1124,,,10,5,,,,,59,28,26,134,9,5,9,297,153,121,504,19,73,10,710,6,11,392,335,16,36,35,86,171,191,189,3,,,,19,23,685,5,31,691,,719,8,,121,88,3,,39,,40,169,64,37,7,6,15,,87,36,13,5,,2,,,,,,,,2,,,,,,,,,,,8
106060870,060870,COLUSA MEDICAL CENTER,General Acute Care Hospital,Colusa,199 E WEBSTER ST,COLUSA,95932,Investor - Limited Liability Company,,Emergency - Standby,SMALL/RURAL,,1-49,District 4,District 3,Colusa,Rural,175,167,12,2,1,,,84,29,,2,4643,17,2664,976,165,803,525,5067,,2,62,2690,2443,,796,661,601,747,578,560,543,381,266,,43,55,67,85,,135,84,4664,2427,2699,7,17,3968,2,1146,303,,349,8,209,100,57,155,256,165,1187,193,332,4,146,2,50,549,225,843,1,,1,1,,,,,27,21,10,15,2,1,,202,163,104,294,5,29,9,430,8,3,232,209,,21,31,44,79,117,141,8,,,17,,30,394,,98,343,,376,3,62,46,22,2,,33,,29,173,14,12,4,2,9,1,64,17,13,,,,,,,,,,,,,,,,,,,,,,4
106070924,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,General Acute Care Hospital,Contra Costa,2500 ALHAMBRA AVE,MARTINEZ,94553,City or County,,Emergency - Basic,,,150-199,District 3,District 14,Crockett/Hercules/Martinez West/Pinole/Port Costa/Richmond Northeast/Rodeo,Urban,1379,192,7,2,2,,245,588,1623,23,,33717,111,7943,3215,12931,6652,6738,36459,9,1200,218,18998,18891,1,2789,3485,6349,7531,6063,5373,3979,1603,718,,117,2972,5907,957,260,15546,1578,10553,16031,19975,1884,2190,27078,81,8541,1578,10,1594,91,551,333,468,2421,1661,1722,4098,7908,3226,56,1196,105,738,1597,1178,7339,,1,2,2,20,,,411,335,2,54,13,13,57,,4878,2,4248,1049,30,224,125,5322,331,21,3606,2070,1310,1325,638,731,723,457,290,,544,821,137,2489,90,1517,366,2288,3022,476,3785,,1415,567,612,48,4,273,8,207,390,166,822,74,90,108,9,237,137,91,,48,271,,1,43,159,15,63,,10,1781,3,,42,,,,1,,,26
106070934,070934,SUTTER DELTA MEDICAL CENTER,General Acute Care Hospital,Contra Costa,3901 LONE TREE WAY,ANTIOCH,94509,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,100-149,District 7,District 11,Brentwood Central and West/Oakley,Urban,738,1054,97,65,11,,68,52,226,,110,38544,155,23994,6240,938,7264,2746,39383,9,1274,318,22944,18238,,5526,4551,6252,6591,5171,4971,4060,2404,1656,,99,1886,11813,901,1079,10067,470,14867,13646,26976,560,778,35461,132,4811,2518,8,2404,176,824,593,436,646,2459,2769,7520,1369,3386,80,1459,22,1167,4582,1689,7042,1,61,,198,33,,,,241,239,179,1376,112,13,4,2516,642,1718,2609,177,814,74,5088,240,46,2706,2686,213,407,482,933,1193,1077,1039,8,305,1252,68,800,36,2669,46,1144,4202,219,4725,23,425,1253,689,91,3,408,2,301,1193,323,104,70,60,173,8,468,91,116,3,1,66,3,15,,40,16,246,2,3,34,,,,,,,,,,30
106070988,070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,General Acute Care Hospital,Contra Costa,1601 YGNACIO VALLEY RD,WALNUT CREEK,94598,Non-profit Corporation (incl. Church-related),Level II,Emergency - Basic,,,500+,District 7,District 16,Clayton/Concord South/Walnut Creek Central and East,Urban,224,796,52,341,54,,4,76,393,11,1,44717,1135,1129,24609,849,19369,1892,46566,36,482,707,26922,20922,4,7248,3881,4829,5349,4656,4982,5207,5453,6243,,159,4398,3281,1259,414,6681,2077,29579,9912,35981,1955,1435,43591,101,2721,3645,19,2905,245,631,719,541,950,2854,2968,9795,1408,3170,198,1960,83,951,3781,1278,9695,,18,1,56,52,26,,,437,161,612,2792,347,82,184,4907,2170,1560,6853,335,2773,209,11350,245,108,5917,5813,492,684,712,1225,1789,2549,3583,,1057,783,221,1005,459,8117,454,1393,9883,512,10723,44,451,1690,1532,130,7,547,12,743,1648,2466,177,293,476,369,1,1022,243,185,5,11,11,4,23,459,237,30,58,12,27,85,6,,65,,5,,,,,44
